spp_LH,habit1_LH,habit2_LH,spp_RY,habit1_RY,habit2_RY
Campylocentrum micranthum,Leafy stem,Scandent,Campylocentrum micranthum,Leafy stem,Scandent
Cryptocentrum latifolium,Monopodial,Erect,Cryptocentrum latifolium,Monopodial,Erect
Dichaea hystricina,Leafy stem,Scandent,Epidendrum porpax,Leafy stem,Scandent
Dichaea pendula,Leafy stem,Scandent,Epidendrum RY,,
Encyclia prostechea,Pseudobulb,Erect,Lankesteriana cuspidata,Ramicaule,Erect
Epidendrum LH,,,Maxillaria,Pseudobulb,Erect
Epidendrum porpax,Leafy stem,Scandent,Maxillaria fritzii,Pseudobulb,Erect
Epidendrum sp.1,,,Maxillaria ochracea,Pseudobulb,Scandent
Lankesteriana cuspidata,Ramicaule,Erect,Mormolyca rufescens,Pseudobulb,Erect
Lepanthes sp,Ramicaule,Erect,Myoxanthus affinis,Ramicaule,Erect
Lepanthes sp.1,Ramicaule,Erect,Oncidium adelaide,Pseudobulb,Erect
Lepanthes sp.2,Ramicaule,Erect,Oncidium pictum,Pseudobulb,Erect
Lepanthes sp.3,Ramicaule,Erect,Pleurothallis hystrix,Ramicaule,Prostrate
Lepanthopsis floripecten,Ramicaule,Erect,Pleurothallis tripterantha,Ramicaule,Erect
Oncidium chrysomorphum,Pseudobulb,Erect,Stelis argentata,Ramicaule,Erect
Oncidium pictum,Pseudobulb,Erect,Stelis popayanensis,Ramicaule,Erect
Platystele consobrina,Ramicaule,Erect,Stelis sp.1,Ramicaule,Erect
Pleurothallis hystrix,Ramicaule,Prostrate,Stelis sp.2,Ramicaule,Erect
Restrepia antennifera,Ramicaule,Erect,Stelis spathulata,Ramicaule,Erect
Stelis argentata,Ramicaule,Erect,Stelis vulcanica,Ramicaule,Erect
Stelis sp.2,Ramicaule,Erect,,,
Stelis spathulata,Ramicaule,Erect,,,
Stelis vulcanica,Ramicaule,Erect,,,
Sygmatostalix sergii,Ramicaule,Erect,,,
